mesh_index,h,enforcement,p,projector,exponent_label,exponent,quadrature_degree,c_stab,skipped_zero_bases
9,0.1571348402636773,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8441191053532818,0
10,0.14142135623730964,multiplier,1.5,P_h,2,2.0,6,1.0000000000000004,0
10,0.14142135623730964,multiplier,1.5,P_h,p,1.5,6,1.1301237968861135,0
10,0.14142135623730964,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
10,0.14142135623730964,multiplier,1.5,P_h_perp,2,2.0,6,0.759216811256729,0
10,0.14142135623730964,multiplier,1.5,P_h_perp,p,1.5,6,0.9807848293778321,0
10,0.14142135623730964,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7071034810377638,0
10,0.14142135623730964,multiplier,2.5,P_h,2,2.0,6,1.0000000000000004,0
10,0.14142135623730964,multiplier,2.5,P_h,p,2.5,6,1.0000000000000004,0
10,0.14142135623730964,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0059806576741732,0
10,0.14142135623730964,multiplier,2.5,P_h_perp,2,2.0,6,0.759216811256729,0
10,0.14142135623730964,multiplier,2.5,P_h_perp,p,2.5,6,0.7275947838505838,0
10,0.14142135623730964,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8447112570773344,0
10,0.14142135623730964,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
10,0.14142135623730964,strong,1.5,P_h,p,1.5,6,1.1301239335016837,0
10,0.14142135623730964,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
10,0.14142135623730964,strong,1.5,P_h_perp,2,2.0,6,0.7709927960138431,0
10,0.14142135623730964,strong,1.5,P_h_perp,p,1.5,6,0.9807852399303881,0
10,0.14142135623730964,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038233132233821,0
10,0.14142135623730964,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
10,0.14142135623730964,strong,2.5,P_h,p,2.5,6,1.0000000000000004,0
10,0.14142135623730964,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0059806895986387,0
10,0.14142135623730964,strong,2.5,P_h_perp,2,2.0,6,0.7709927960138431,0
10,0.14142135623730964,strong,2.5,P_h_perp,p,2.5,6,0.7276259788615516,0
10,0.14142135623730964,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8441270477184415,0
11,0.12856486930664504,multiplier,1.5,P_h,2,2.0,6,1.0000000000000004,0
11,0.12856486930664504,multiplier,1.5,P_h,p,1.5,6,1.1339418738300784,0
11,0.12856486930664504,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
11,0.12856486930664504,multiplier,1.5,P_h_perp,2,2.0,6,0.7602586893392699,0
11,0.12856486930664504,multiplier,1.5,P_h_perp,p,1.5,6,0.9828162834622554,0
11,0.12856486930664504,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7069661191365619,0
11,0.12856486930664504,multiplier,2.5,P_h,2,2.0,6,1.0000000000000004,0
11,0.12856486930664504,multiplier,2.5,P_h,p,2.5,6,1.0000000000000004,0
11,0.12856486930664504,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0070698582713267,0
11,0.12856486930664504,multiplier,2.5,P_h_perp,2,2.0,6,0.7602586893392699,0
11,0.12856486930664504,multiplier,2.5,P_h_perp,p,2.5,6,0.7278180309854312,0
11,0.12856486930664504,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8447381326113529,0
11,0.12856486930664504,strong,1.5,P_h,2,2.0,6,1.0000000000000004,0
11,0.12856486930664504,strong,1.5,P_h,p,1.5,6,1.1339419505034267,0
11,0.12856486930664504,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000007,0
